Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,problem_size,connections_per_node,max_attempts,num_edges,run_number,group_timestamp,total_runtime
56,0.11327891598921269,490.0,637.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
57,0.11513758299406618,490.0,648.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
58,0.11697145801736042,490.0,659.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
59,0.11894158297218382,490.0,670.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
60,0.12108066602377221,490.0,681.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
61,0.12298695801291615,490.0,692.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
62,0.12492512498283759,490.0,703.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
63,0.12702299997908995,492.0,715.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
64,0.1289695409941487,492.0,726.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
65,0.13092454097932205,492.0,737.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
66,0.13310420798370615,495.0,749.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
67,0.13503504102118313,495.0,760.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
68,0.13690108299488202,495.0,771.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
69,0.13873891602270305,495.0,782.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
70,0.14057437499286607,495.0,793.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
71,0.14241491601569578,495.0,804.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
72,0.1444320830050856,495.0,815.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
73,0.1466481660027057,498.0,827.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
74,0.14858062501298264,498.0,838.0,10,0.1,100,300,3,100,300,0,1719020139,35.525818249967415
