,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
291,291,2.83269647599991,684.5703936963318,29500.0,100,0.9,10000
292,292,2.8419536809997226,684.5703936963318,29601.0,100,0.9,10000
293,293,2.85120071700112,684.5703936963318,29702.0,100,0.9,10000
294,294,2.8604557880007633,684.5703936963318,29803.0,100,0.9,10000
295,295,2.869687505000911,684.5703936963318,29904.0,100,0.9,10000
296,296,2.878911006000635,684.5703936963318,30005.0,100,0.9,10000
297,297,2.8881676100008917,684.5703936963318,30106.0,100,0.9,10000
298,298,2.8975816029997077,684.5703936963318,30207.0,100,0.9,10000
299,299,2.906802630001039,684.5703936963318,30308.0,100,0.9,10000
300,300,2.916072489000726,684.5703936963318,30409.0,100,0.9,10000
301,301,2.925396131000525,684.5703936963318,30510.0,100,0.9,10000
302,302,2.934662663999916,684.5703936963318,30611.0,100,0.9,10000
303,303,2.94393917600064,684.5703936963318,30712.0,100,0.9,10000
304,304,2.953183486000853,684.5703936963318,30813.0,100,0.9,10000
305,305,2.9626459009996324,684.5703936963318,30914.0,100,0.9,10000
306,306,2.9729119439998613,684.5703936963318,31015.0,100,0.9,10000
307,307,2.9831058500003564,684.5703936963318,31116.0,100,0.9,10000
308,308,2.9933731140008604,684.5703936963318,31217.0,100,0.9,10000
309,309,3.003486227000394,684.5703936963318,31318.0,100,0.9,10000
310,310,3.013666777000253,684.5703936963318,31419.0,100,0.9,10000
311,311,3.0236890870000934,684.5703936963318,31520.0,100,0.9,10000
312,312,3.0337793649996456,684.5703936963318,31621.0,100,0.9,10000
313,313,3.0438366409998707,684.5703936963318,31722.0,100,0.9,10000
314,314,3.054075952999483,684.5703936963318,31823.0,100,0.9,10000
315,315,3.0640819809996174,684.5703936963318,31924.0,100,0.9,10000
316,316,3.074291777000326,684.5703936963318,32025.0,100,0.9,10000
317,317,3.084382906999963,684.5703936963318,32126.0,100,0.9,10000
318,318,3.094506960000217,684.5703936963318,32227.0,100,0.9,10000
319,319,3.1047487770010775,684.5703936963318,32328.0,100,0.9,10000
320,320,3.114865085000929,684.5703936963318,32429.0,100,0.9,10000
321,321,3.125130968001031,684.5703936963318,32530.0,100,0.9,10000
322,322,3.135408751999421,684.5703936963318,32631.0,100,0.9,10000
323,323,3.154251486999783,684.5703936963318,32732.0,100,0.9,10000
324,324,3.166120535999653,684.5703936963318,32833.0,100,0.9,10000
325,325,3.176124229999914,684.5703936963318,32934.0,100,0.9,10000
326,326,3.1861326529997314,684.5703936963318,33035.0,100,0.9,10000
327,327,3.1962522080011695,684.5703936963318,33136.0,100,0.9,10000
328,328,3.2064414039996336,684.5703936963318,33237.0,100,0.9,10000
329,329,3.2164821890000894,684.5703936963318,33338.0,100,0.9,10000
330,330,3.2266044080006395,684.5703936963318,33439.0,100,0.9,10000
331,331,3.236586279999756,684.5703936963318,33540.0,100,0.9,10000
332,332,3.246639048000361,684.5703936963318,33641.0,100,0.9,10000
333,333,3.2568182659997547,684.5703936963318,33742.0,100,0.9,10000
334,334,3.266757237001002,684.5703936963318,33843.0,100,0.9,10000
335,335,3.2769194020002033,684.5703936963318,33944.0,100,0.9,10000
336,336,3.2869892720009375,684.5703936963318,34045.0,100,0.9,10000
337,337,3.2968971640002565,684.5703936963318,34146.0,100,0.9,10000
338,338,3.3069905180000205,684.5703936963318,34247.0,100,0.9,10000
339,339,3.3171669410003233,684.5703936963318,34348.0,100,0.9,10000
340,340,3.3274275429994304,684.5703936963318,34449.0,100,0.9,10000
341,341,3.3376565649996337,684.5703936963318,34550.0,100,0.9,10000
342,342,3.347989124000378,684.5703936963318,34651.0,100,0.9,10000
343,343,3.358217164999587,684.5703936963318,34752.0,100,0.9,10000
344,344,3.3682971950001956,684.5703936963318,34853.0,100,0.9,10000
345,345,3.37857102199996,684.5703936963318,34954.0,100,0.9,10000
346,346,3.3886107340003946,684.5703936963318,35055.0,100,0.9,10000
347,347,3.3987547449996782,684.5703936963318,35156.0,100,0.9,10000
348,348,3.4083709320002527,684.5703936963318,35257.0,100,0.9,10000
349,349,3.418074836999949,684.5703936963318,35358.0,100,0.9,10000
350,350,3.4277260809994914,684.5703936963318,35459.0,100,0.9,10000
351,351,3.437262766999993,684.5703936963318,35560.0,100,0.9,10000
352,352,3.446850260001156,684.5703936963318,35661.0,100,0.9,10000
353,353,3.456354165000448,684.5703936963318,35762.0,100,0.9,10000
354,354,3.4659392129997286,684.5703936963318,35863.0,100,0.9,10000
355,355,3.475489014001141,684.5703936963318,35964.0,100,0.9,10000
356,356,3.485064444001182,684.5703936963318,36065.0,100,0.9,10000
357,357,3.494657397000992,684.5703936963318,36166.0,100,0.9,10000
358,358,3.504215725000904,684.5703936963318,36267.0,100,0.9,10000
359,359,3.513839237000866,684.5703936963318,36368.0,100,0.9,10000
360,360,3.523369611000817,684.5703936963318,36469.0,100,0.9,10000
361,361,3.5329875019997417,684.5703936963318,36570.0,100,0.9,10000
362,362,3.542636301001039,684.5703936963318,36671.0,100,0.9,10000
363,363,3.5523190450003312,684.5703936963318,36772.0,100,0.9,10000
364,364,3.561993913999686,684.5703936963318,36873.0,100,0.9,10000
365,365,3.5715242280002713,684.5703936963318,36974.0,100,0.9,10000
366,366,3.581098214999656,684.5703936963318,37075.0,100,0.9,10000
367,367,3.5906061380010215,684.5703936963318,37176.0,100,0.9,10000
368,368,3.6001978690001124,684.5703936963318,37277.0,100,0.9,10000
369,369,3.609784309999668,684.5703936963318,37378.0,100,0.9,10000
370,370,3.6192686060003325,684.5703936963318,37479.0,100,0.9,10000
371,371,3.6288952340000833,684.5703936963318,37580.0,100,0.9,10000
372,372,3.6385044979997474,684.5703936963318,37681.0,100,0.9,10000
373,373,3.6479595189994143,684.5703936963318,37782.0,100,0.9,10000
374,374,3.6575349300001108,684.5703936963318,37883.0,100,0.9,10000
375,375,3.6671098790011456,684.5703936963318,37984.0,100,0.9,10000
376,376,3.676747247000094,684.5703936963318,38085.0,100,0.9,10000
377,377,3.686281409000003,684.5703936963318,38186.0,100,0.9,10000
378,378,3.6958877079996455,684.5703936963318,38287.0,100,0.9,10000
379,379,3.705507333001151,684.5703936963318,38388.0,100,0.9,10000
380,380,3.7150744070004293,684.5703936963318,38489.0,100,0.9,10000
381,381,3.724664395000218,684.5703936963318,38590.0,100,0.9,10000
382,382,3.7343179849995067,684.5703936963318,38691.0,100,0.9,10000
383,383,3.7470558360000723,684.5703936963318,38792.0,100,0.9,10000
384,384,3.7579742890011403,684.5703936963318,38893.0,100,0.9,10000
385,385,3.7676873420004995,684.5703936963318,38994.0,100,0.9,10000
386,386,3.777411373999712,684.5703936963318,39095.0,100,0.9,10000
387,387,3.787046278001071,684.5703936963318,39196.0,100,0.9,10000
388,388,3.796704446000149,684.5703936963318,39297.0,100,0.9,10000
389,389,3.8062817190002534,684.5703936963318,39398.0,100,0.9,10000
390,390,3.8158922269994946,684.5703936963318,39499.0,100,0.9,10000
391,391,3.8255161100005353,684.5703936963318,39600.0,100,0.9,10000
392,392,3.8351611220004997,684.5703936963318,39701.0,100,0.9,10000
393,393,3.8447479639999074,684.5703936963318,39802.0,100,0.9,10000
394,394,3.8544331940011034,684.5703936963318,39903.0,100,0.9,10000
395,395,3.8641120200009027,684.5703936963318,40004.0,100,0.9,10000
396,396,3.873725983999975,684.5703936963318,40105.0,100,0.9,10000
397,397,3.8832785920003516,684.5703936963318,40206.0,100,0.9,10000
398,398,3.89288342799955,684.5703936963318,40307.0,100,0.9,10000
399,399,3.902407060000769,684.5703936963318,40408.0,100,0.9,10000
400,400,3.912009191000834,684.5703936963318,40509.0,100,0.9,10000
