,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
227,227,4.054266416000019,802.9493764839677,23032.0,True,100,0.9,500
228,228,4.071659750000009,802.9493764839677,23133.0,True,100,0.9,500
229,229,4.089244500000007,802.9493764839677,23234.0,True,100,0.9,500
230,230,4.106649166000011,802.9493764839677,23335.0,True,100,0.9,500
231,231,4.124072874999996,802.9493764839677,23436.0,True,100,0.9,500
232,232,4.141313041000018,802.9493764839677,23537.0,True,100,0.9,500
233,233,4.1590040830000135,802.9493764839677,23638.0,True,100,0.9,500
234,234,4.177027916000014,802.9493764839677,23739.0,True,100,0.9,500
235,235,4.194984290999997,802.9493764839677,23840.0,True,100,0.9,500
236,236,4.212955416,802.9493764839677,23941.0,True,100,0.9,500
237,237,4.2309688329999915,802.9493764839677,24042.0,True,100,0.9,500
238,238,4.249119624999992,802.9493764839677,24143.0,True,100,0.9,500
239,239,4.2666560410000045,802.9493764839677,24244.0,True,100,0.9,500
240,240,4.284247958000009,802.9493764839677,24345.0,True,100,0.9,500
241,241,4.301748333000006,802.9493764839677,24446.0,True,100,0.9,500
242,242,4.319103708,802.9493764839677,24547.0,True,100,0.9,500
243,243,4.3367152499999975,802.9493764839677,24648.0,True,100,0.9,500
244,244,4.354132625000005,802.9493764839677,24749.0,True,100,0.9,500
245,245,4.371438124999997,802.9493764839677,24850.0,True,100,0.9,500
246,246,4.388938541000016,802.9493764839677,24951.0,True,100,0.9,500
247,247,4.406422415999998,802.9493764839677,25052.0,True,100,0.9,500
248,248,4.423906041000009,802.9493764839677,25153.0,True,100,0.9,500
249,249,4.441308500000019,802.9493764839677,25254.0,True,100,0.9,500
250,250,4.458652208000018,802.9493764839677,25355.0,True,100,0.9,500
251,251,4.475904916000019,802.9493764839677,25456.0,True,100,0.9,500
252,252,4.493425666000007,802.9493764839677,25557.0,True,100,0.9,500
253,253,4.511046291000014,802.9493764839677,25658.0,True,100,0.9,500
254,254,4.528391625000012,802.9493764839677,25759.0,True,100,0.9,500
255,255,4.545849125000018,802.9493764839677,25860.0,True,100,0.9,500
256,256,4.563427791000009,802.9493764839677,25961.0,True,100,0.9,500
257,257,4.580935916000016,802.9493764839677,26062.0,True,100,0.9,500
258,258,4.598594125000005,802.9493764839677,26163.0,True,100,0.9,500
259,259,4.615952625000006,802.9493764839677,26264.0,True,100,0.9,500
260,260,4.633362125000019,802.9493764839677,26365.0,True,100,0.9,500
261,261,4.651258416000019,802.9493764839677,26466.0,True,100,0.9,500
262,262,4.668774124999999,802.9493764839677,26567.0,True,100,0.9,500
263,263,4.686337916000014,802.9493764839677,26668.0,True,100,0.9,500
264,264,4.703901500000001,802.9493764839677,26769.0,True,100,0.9,500
265,265,4.7215046660000155,802.9493764839677,26870.0,True,100,0.9,500
266,266,4.739025041000019,802.9493764839677,26971.0,True,100,0.9,500
267,267,4.756309458000004,802.9493764839677,27072.0,True,100,0.9,500
268,268,4.773721625000007,802.9493764839677,27173.0,True,100,0.9,500
269,269,4.791224666000005,802.9493764839677,27274.0,True,100,0.9,500
270,270,4.808692000000008,802.9493764839677,27375.0,True,100,0.9,500
271,271,4.826062041,802.9493764839677,27476.0,True,100,0.9,500
272,272,4.843634207999997,802.9493764839677,27577.0,True,100,0.9,500
273,273,4.861421041,802.9493764839677,27678.0,True,100,0.9,500
274,274,4.878774082999996,802.9493764839677,27779.0,True,100,0.9,500
275,275,4.896512666000007,802.9493764839677,27880.0,True,100,0.9,500
276,276,4.91402741600001,802.9493764839677,27981.0,True,100,0.9,500
277,277,4.931537041000013,802.9493764839677,28082.0,True,100,0.9,500
278,278,4.948892958000016,802.9493764839677,28183.0,True,100,0.9,500
279,279,4.9662447500000155,802.9493764839677,28284.0,True,100,0.9,500
280,280,4.983612125000008,802.9493764839677,28385.0,True,100,0.9,500
281,281,5.001032750000007,802.9493764839677,28486.0,True,100,0.9,500
282,282,5.0185617500000035,802.9493764839677,28587.0,True,100,0.9,500
283,283,5.0360151659999985,802.9493764839677,28688.0,True,100,0.9,500
284,284,5.053524583000012,802.9493764839677,28789.0,True,100,0.9,500
285,285,5.070939416000016,802.9493764839677,28890.0,True,100,0.9,500
286,286,5.088347375000012,802.9493764839677,28991.0,True,100,0.9,500
287,287,5.105977875000008,802.9493764839677,29092.0,True,100,0.9,500
288,288,5.1234751659999915,802.9493764839677,29193.0,True,100,0.9,500
289,289,5.140679250000005,802.9493764839677,29294.0,True,100,0.9,500
290,290,5.158292291000009,802.9493764839677,29395.0,True,100,0.9,500
291,291,5.175831250000016,802.9493764839677,29496.0,True,100,0.9,500
292,292,5.193405250000012,802.9493764839677,29597.0,True,100,0.9,500
293,293,5.210902583000006,802.9493764839677,29698.0,True,100,0.9,500
294,294,5.228419916000007,802.9493764839677,29799.0,True,100,0.9,500
295,295,5.245820333000012,802.9493764839677,29900.0,True,100,0.9,500
296,296,5.263871749999993,802.9493764839677,30001.0,True,100,0.9,500
297,297,5.282555375000015,802.9493764839677,30102.0,True,100,0.9,500
298,298,5.301090250000016,802.9493764839677,30203.0,True,100,0.9,500
299,299,5.3189972910000165,802.9493764839677,30304.0,True,100,0.9,500
300,300,5.336478083000003,802.9493764839677,30405.0,True,100,0.9,500
301,301,5.353998332999993,802.9493764839677,30506.0,True,100,0.9,500
302,302,5.371396333000007,802.9493764839677,30607.0,True,100,0.9,500
303,303,5.388883665999998,802.9493764839677,30708.0,True,100,0.9,500
304,304,5.406413165999993,802.9493764839677,30809.0,True,100,0.9,500
305,305,5.423933290999997,802.9493764839677,30910.0,True,100,0.9,500
306,306,5.441478332999992,802.9493764839677,31011.0,True,100,0.9,500
