Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,group_number,run_number,problem_size,max_iterations,max_attempts,population_size,mutation_rate
41,0.40573311099979037,797.2540599583264,4247.0,100,0.25,1000,0,0,10,1000,100,100,0.25
42,0.41490654299923335,797.2540599583264,4348.0,100,0.25,1000,0,0,10,1000,100,100,0.25
43,0.4237664060001407,797.2540599583264,4449.0,100,0.25,1000,0,0,10,1000,100,100,0.25
44,0.4327420439985872,797.2540599583264,4550.0,100,0.25,1000,0,0,10,1000,100,100,0.25
45,0.44162164599947573,797.2540599583264,4651.0,100,0.25,1000,0,0,10,1000,100,100,0.25
46,0.4505176999991818,797.2540599583264,4752.0,100,0.25,1000,0,0,10,1000,100,100,0.25
47,0.45975765099865384,797.2540599583264,4853.0,100,0.25,1000,0,0,10,1000,100,100,0.25
48,0.46872302900010254,797.2540599583264,4954.0,100,0.25,1000,0,0,10,1000,100,100,0.25
49,0.4775614009995479,797.2540599583264,5055.0,100,0.25,1000,0,0,10,1000,100,100,0.25
50,0.48639354999977513,797.2540599583264,5156.0,100,0.25,1000,0,0,10,1000,100,100,0.25
51,0.49518150399853766,797.2540599583264,5257.0,100,0.25,1000,0,0,10,1000,100,100,0.25
52,0.5039467539991165,797.2540599583264,5358.0,100,0.25,1000,0,0,10,1000,100,100,0.25
53,0.5126772069997969,797.2540599583264,5459.0,100,0.25,1000,0,0,10,1000,100,100,0.25
54,0.521441764998599,797.2540599583264,5560.0,100,0.25,1000,0,0,10,1000,100,100,0.25
55,0.5301133140001184,797.2540599583264,5661.0,100,0.25,1000,0,0,10,1000,100,100,0.25
56,0.5389058469991141,797.2540599583264,5762.0,100,0.25,1000,0,0,10,1000,100,100,0.25
57,0.5476381429998582,797.2540599583264,5863.0,100,0.25,1000,0,0,10,1000,100,100,0.25
58,0.5563465329996689,797.2540599583264,5964.0,100,0.25,1000,0,0,10,1000,100,100,0.25
59,0.5651142579990847,797.2540599583264,6065.0,100,0.25,1000,0,0,10,1000,100,100,0.25
60,0.5738550999994914,797.2540599583264,6166.0,100,0.25,1000,0,0,10,1000,100,100,0.25
61,0.5826517109999259,797.2540599583264,6267.0,100,0.25,1000,0,0,10,1000,100,100,0.25
62,0.591503327999817,797.2540599583264,6368.0,100,0.25,1000,0,0,10,1000,100,100,0.25
63,0.6002193929998612,797.2540599583264,6469.0,100,0.25,1000,0,0,10,1000,100,100,0.25
64,0.6089748639988102,797.2540599583264,6570.0,100,0.25,1000,0,0,10,1000,100,100,0.25
65,0.6177283709985204,797.2540599583264,6671.0,100,0.25,1000,0,0,10,1000,100,100,0.25
66,0.6265859399991314,797.2540599583264,6772.0,100,0.25,1000,0,0,10,1000,100,100,0.25
67,0.6361770519997663,797.2540599583264,6873.0,100,0.25,1000,0,0,10,1000,100,100,0.25
68,0.6461151269995753,797.2540599583264,6974.0,100,0.25,1000,0,0,10,1000,100,100,0.25
69,0.6566873920000944,797.2540599583264,7075.0,100,0.25,1000,0,0,10,1000,100,100,0.25
70,0.6663292109988106,797.2540599583264,7176.0,100,0.25,1000,0,0,10,1000,100,100,0.25
71,0.6757810539984348,797.2540599583264,7277.0,100,0.25,1000,0,0,10,1000,100,100,0.25
72,0.6852186969990726,797.2540599583264,7378.0,100,0.25,1000,0,0,10,1000,100,100,0.25
73,0.6945235739985947,797.2540599583264,7479.0,100,0.25,1000,0,0,10,1000,100,100,0.25
74,0.7042890839984466,797.2540599583264,7580.0,100,0.25,1000,0,0,10,1000,100,100,0.25
75,0.7142244639999262,797.2540599583264,7681.0,100,0.25,1000,0,0,10,1000,100,100,0.25
76,0.7239872279988049,797.2540599583264,7782.0,100,0.25,1000,0,0,10,1000,100,100,0.25
77,0.733679585999198,797.2540599583264,7883.0,100,0.25,1000,0,0,10,1000,100,100,0.25
78,0.7435897169998498,797.2540599583264,7984.0,100,0.25,1000,0,0,10,1000,100,100,0.25
79,0.7538666389991704,797.2540599583264,8085.0,100,0.25,1000,0,0,10,1000,100,100,0.25
80,0.7630886850001843,797.2540599583264,8186.0,100,0.25,1000,0,0,10,1000,100,100,0.25
81,0.7728268920000119,797.2540599583264,8287.0,100,0.25,1000,0,0,10,1000,100,100,0.25
82,0.7822552990000986,797.2540599583264,8388.0,100,0.25,1000,0,0,10,1000,100,100,0.25
83,0.7924581169991143,797.2540599583264,8489.0,100,0.25,1000,0,0,10,1000,100,100,0.25
84,0.8018480189984984,797.2540599583264,8590.0,100,0.25,1000,0,0,10,1000,100,100,0.25
85,0.8116725139989285,797.2540599583264,8691.0,100,0.25,1000,0,0,10,1000,100,100,0.25
86,0.8208842709991586,797.2540599583264,8792.0,100,0.25,1000,0,0,10,1000,100,100,0.25
87,0.830595565999829,797.2540599583264,8893.0,100,0.25,1000,0,0,10,1000,100,100,0.25
88,0.8398085549997631,797.2540599583264,8994.0,100,0.25,1000,0,0,10,1000,100,100,0.25
89,0.8497944619994087,797.2540599583264,9095.0,100,0.25,1000,0,0,10,1000,100,100,0.25
90,0.8590679079989059,797.2540599583264,9196.0,100,0.25,1000,0,0,10,1000,100,100,0.25
91,0.8686640599989914,797.2540599583264,9297.0,100,0.25,1000,0,0,10,1000,100,100,0.25
92,0.8779813309993187,797.2540599583264,9398.0,100,0.25,1000,0,0,10,1000,100,100,0.25
93,0.8871391729990137,797.2540599583264,9499.0,100,0.25,1000,0,0,10,1000,100,100,0.25
94,0.8967431299988675,797.2540599583264,9600.0,100,0.25,1000,0,0,10,1000,100,100,0.25
95,0.9059224239990726,797.2540599583264,9701.0,100,0.25,1000,0,0,10,1000,100,100,0.25
96,0.9159039429996483,797.2540599583264,9802.0,100,0.25,1000,0,0,10,1000,100,100,0.25
97,0.9255186409991438,797.2540599583264,9903.0,100,0.25,1000,0,0,10,1000,100,100,0.25
98,0.9351086309998209,797.2540599583264,10004.0,100,0.25,1000,0,0,10,1000,100,100,0.25
99,0.9442447209985403,797.2540599583264,10105.0,100,0.25,1000,0,0,10,1000,100,100,0.25
100,0.9536945689997083,797.2540599583264,10206.0,100,0.25,1000,0,0,10,1000,100,100,0.25
101,0.9628731409993634,797.2540599583264,10307.0,100,0.25,1000,0,0,10,1000,100,100,0.25
102,0.9754502539999521,797.2540599583264,10408.0,100,0.25,1000,0,0,10,1000,100,100,0.25
103,0.984673582999676,797.2540599583264,10509.0,100,0.25,1000,0,0,10,1000,100,100,0.25
104,0.9947008009985439,797.2540599583264,10610.0,100,0.25,1000,0,0,10,1000,100,100,0.25
105,1.003939790000004,797.2540599583264,10711.0,100,0.25,1000,0,0,10,1000,100,100,0.25
106,1.0137234959984198,797.2540599583264,10812.0,100,0.25,1000,0,0,10,1000,100,100,0.25
107,1.0228778609998699,797.2540599583264,10913.0,100,0.25,1000,0,0,10,1000,100,100,0.25
108,1.0323333899996214,797.2540599583264,11014.0,100,0.25,1000,0,0,10,1000,100,100,0.25
109,1.0416145909985062,797.2540599583264,11115.0,100,0.25,1000,0,0,10,1000,100,100,0.25
110,1.051114145999236,797.2540599583264,11216.0,100,0.25,1000,0,0,10,1000,100,100,0.25
111,1.0604697609996947,797.2540599583264,11317.0,100,0.25,1000,0,0,10,1000,100,100,0.25
112,1.0701656159999402,797.2540599583264,11418.0,100,0.25,1000,0,0,10,1000,100,100,0.25
113,1.0795056520000799,797.2540599583264,11519.0,100,0.25,1000,0,0,10,1000,100,100,0.25
114,1.0892342499992083,797.2540599583264,11620.0,100,0.25,1000,0,0,10,1000,100,100,0.25
115,1.0987625910001952,797.2540599583264,11721.0,100,0.25,1000,0,0,10,1000,100,100,0.25
116,1.1079687459987326,797.2540599583264,11822.0,100,0.25,1000,0,0,10,1000,100,100,0.25
117,1.1172810979987844,797.2540599583264,11923.0,100,0.25,1000,0,0,10,1000,100,100,0.25
118,1.1263835319987265,797.2540599583264,12024.0,100,0.25,1000,0,0,10,1000,100,100,0.25
119,1.1359295269994618,797.2540599583264,12125.0,100,0.25,1000,0,0,10,1000,100,100,0.25
0,0.00336756099932245,1068.1483700349288,100.0,100,0.25,1000,0,1,10,1000,100,100,0.25
1,0.018154941999455332,986.2303848388469,202.0,100,0.25,1000,0,1,10,1000,100,100,0.25
2,0.02753517499877489,939.9471758985832,304.0,100,0.25,1000,0,1,10,1000,100,100,0.25
3,0.03672909699889715,926.3405289887826,406.0,100,0.25,1000,0,1,10,1000,100,100,0.25
4,0.046365666999918176,926.3405289887826,507.0,100,0.25,1000,0,1,10,1000,100,100,0.25
5,0.055404126998837455,848.0901759734037,609.0,100,0.25,1000,0,1,10,1000,100,100,0.25
6,0.06481057099881582,848.0901759734037,710.0,100,0.25,1000,0,1,10,1000,100,100,0.25
7,0.0737599690000934,848.0901759734037,811.0,100,0.25,1000,0,1,10,1000,100,100,0.25
8,0.08311441200021363,848.0901759734037,912.0,100,0.25,1000,0,1,10,1000,100,100,0.25
9,0.09202101600021706,848.0901759734037,1013.0,100,0.25,1000,0,1,10,1000,100,100,0.25
10,0.10116964000008011,848.0901759734037,1114.0,100,0.25,1000,0,1,10,1000,100,100,0.25
11,0.11020490400005656,848.0901759734037,1215.0,100,0.25,1000,0,1,10,1000,100,100,0.25
12,0.1194650540001021,848.0901759734037,1316.0,100,0.25,1000,0,1,10,1000,100,100,0.25
13,0.12859538299926498,848.0901759734037,1417.0,100,0.25,1000,0,1,10,1000,100,100,0.25
14,0.1378090729995165,848.0901759734037,1518.0,100,0.25,1000,0,1,10,1000,100,100,0.25
15,0.14758704699852387,848.0901759734037,1619.0,100,0.25,1000,0,1,10,1000,100,100,0.25
16,0.15670963099910296,848.0901759734037,1720.0,100,0.25,1000,0,1,10,1000,100,100,0.25
17,0.16606216999934986,848.0901759734037,1821.0,100,0.25,1000,0,1,10,1000,100,100,0.25
18,0.1750656929998513,848.0901759734037,1922.0,100,0.25,1000,0,1,10,1000,100,100,0.25
19,0.18444369200005895,848.0901759734037,2023.0,100,0.25,1000,0,1,10,1000,100,100,0.25
20,0.19346463799956837,840.7219814306952,2125.0,100,0.25,1000,0,1,10,1000,100,100,0.25
21,0.2027231550000579,840.7219814306952,2226.0,100,0.25,1000,0,1,10,1000,100,100,0.25
22,0.21170951400017657,840.7219814306952,2327.0,100,0.25,1000,0,1,10,1000,100,100,0.25
23,0.22108992799985572,840.7219814306952,2428.0,100,0.25,1000,0,1,10,1000,100,100,0.25
24,0.23011299799873086,840.7219814306952,2529.0,100,0.25,1000,0,1,10,1000,100,100,0.25
25,0.23949453400018683,840.7219814306952,2630.0,100,0.25,1000,0,1,10,1000,100,100,0.25
26,0.24888663999990968,840.7219814306952,2731.0,100,0.25,1000,0,1,10,1000,100,100,0.25
27,0.25801852099903044,840.7219814306952,2832.0,100,0.25,1000,0,1,10,1000,100,100,0.25
28,0.26724451500012947,840.7219814306952,2933.0,100,0.25,1000,0,1,10,1000,100,100,0.25
29,0.27618748099848744,840.7219814306952,3034.0,100,0.25,1000,0,1,10,1000,100,100,0.25
30,0.2856245739985752,840.7219814306952,3135.0,100,0.25,1000,0,1,10,1000,100,100,0.25
31,0.2944472559993301,840.7219814306952,3236.0,100,0.25,1000,0,1,10,1000,100,100,0.25
32,0.3039456179994886,827.1167868429196,3338.0,100,0.25,1000,0,1,10,1000,100,100,0.25
33,0.31296793699948466,827.1167868429196,3439.0,100,0.25,1000,0,1,10,1000,100,100,0.25
34,0.3223868349996337,827.1167868429196,3540.0,100,0.25,1000,0,1,10,1000,100,100,0.25
35,0.3314433300001838,827.1167868429196,3641.0,100,0.25,1000,0,1,10,1000,100,100,0.25
36,0.34096092999971006,827.1167868429196,3742.0,100,0.25,1000,0,1,10,1000,100,100,0.25
37,0.3501017279995722,827.1167868429196,3843.0,100,0.25,1000,0,1,10,1000,100,100,0.25
38,0.3594204319997516,827.1167868429196,3944.0,100,0.25,1000,0,1,10,1000,100,100,0.25
39,0.36856751300001633,827.1167868429196,4045.0,100,0.25,1000,0,1,10,1000,100,100,0.25
40,0.3777570759993978,827.1167868429196,4146.0,100,0.25,1000,0,1,10,1000,100,100,0.25
41,0.3874633420000464,827.1167868429196,4247.0,100,0.25,1000,0,1,10,1000,100,100,0.25
42,0.39689172799990047,827.1167868429196,4348.0,100,0.25,1000,0,1,10,1000,100,100,0.25
43,0.4063298940000095,827.1167868429196,4449.0,100,0.25,1000,0,1,10,1000,100,100,0.25
44,0.41535890599880076,827.1167868429196,4550.0,100,0.25,1000,0,1,10,1000,100,100,0.25
45,0.4242869419995259,827.1167868429196,4651.0,100,0.25,1000,0,1,10,1000,100,100,0.25
46,0.4330129459995078,827.1167868429196,4752.0,100,0.25,1000,0,1,10,1000,100,100,0.25
47,0.44205406199944264,827.1167868429196,4853.0,100,0.25,1000,0,1,10,1000,100,100,0.25
48,0.45088134199977503,827.1167868429196,4954.0,100,0.25,1000,0,1,10,1000,100,100,0.25
49,0.4597089139988384,827.1167868429195,5056.0,100,0.25,1000,0,1,10,1000,100,100,0.25
50,0.46852138599933824,827.1167868429195,5157.0,100,0.25,1000,0,1,10,1000,100,100,0.25
51,0.4772103479990619,827.1167868429195,5258.0,100,0.25,1000,0,1,10,1000,100,100,0.25
52,0.48635926299903076,827.1167868429195,5359.0,100,0.25,1000,0,1,10,1000,100,100,0.25
53,0.4952907549995871,827.1167868429195,5460.0,100,0.25,1000,0,1,10,1000,100,100,0.25
54,0.5042734969993035,827.1167868429195,5561.0,100,0.25,1000,0,1,10,1000,100,100,0.25
55,0.5133580769997934,827.1167868429195,5662.0,100,0.25,1000,0,1,10,1000,100,100,0.25
56,0.5221839649984759,827.1167868429195,5763.0,100,0.25,1000,0,1,10,1000,100,100,0.25
57,0.5310271259986621,827.1167868429195,5864.0,100,0.25,1000,0,1,10,1000,100,100,0.25
58,0.5402755239992985,827.1167868429195,5965.0,100,0.25,1000,0,1,10,1000,100,100,0.25
59,0.5493958429997292,827.1167868429195,6066.0,100,0.25,1000,0,1,10,1000,100,100,0.25
60,0.5583643979989574,827.1167868429195,6167.0,100,0.25,1000,0,1,10,1000,100,100,0.25
61,0.5672816229998716,827.1167868429195,6268.0,100,0.25,1000,0,1,10,1000,100,100,0.25
62,0.5762214419992233,827.1167868429195,6369.0,100,0.25,1000,0,1,10,1000,100,100,0.25
63,0.5851619419991039,827.1167868429195,6470.0,100,0.25,1000,0,1,10,1000,100,100,0.25
64,0.5941511169985461,827.1167868429195,6571.0,100,0.25,1000,0,1,10,1000,100,100,0.25
65,0.603568862999964,827.1167868429195,6672.0,100,0.25,1000,0,1,10,1000,100,100,0.25
66,0.6128006479993928,827.1167868429195,6773.0,100,0.25,1000,0,1,10,1000,100,100,0.25
67,0.6219326800000999,827.1167868429195,6874.0,100,0.25,1000,0,1,10,1000,100,100,0.25
68,0.6310394529991754,827.1167868429195,6975.0,100,0.25,1000,0,1,10,1000,100,100,0.25
69,0.6402383650001866,827.1167868429195,7076.0,100,0.25,1000,0,1,10,1000,100,100,0.25
70,0.649446845998682,827.1167868429195,7177.0,100,0.25,1000,0,1,10,1000,100,100,0.25
71,0.6583966239995789,827.1167868429195,7278.0,100,0.25,1000,0,1,10,1000,100,100,0.25
72,0.6673343490001571,827.1167868429195,7379.0,100,0.25,1000,0,1,10,1000,100,100,0.25
73,0.6762955199992575,827.1167868429195,7480.0,100,0.25,1000,0,1,10,1000,100,100,0.25
74,0.6852273039985448,827.1167868429195,7581.0,100,0.25,1000,0,1,10,1000,100,100,0.25
75,0.6941448599991418,827.1167868429195,7682.0,100,0.25,1000,0,1,10,1000,100,100,0.25
76,0.7031352479989437,827.1167868429195,7783.0,100,0.25,1000,0,1,10,1000,100,100,0.25
77,0.7122173219995602,827.1167868429195,7884.0,100,0.25,1000,0,1,10,1000,100,100,0.25
78,0.7213570299991261,827.1167868429195,7985.0,100,0.25,1000,0,1,10,1000,100,100,0.25
79,0.7303959909986588,827.1167868429195,8086.0,100,0.25,1000,0,1,10,1000,100,100,0.25
80,0.7395277529994928,827.1167868429195,8187.0,100,0.25,1000,0,1,10,1000,100,100,0.25
81,0.7485238809986186,827.1167868429195,8288.0,100,0.25,1000,0,1,10,1000,100,100,0.25
82,0.7575346679986978,827.1167868429195,8389.0,100,0.25,1000,0,1,10,1000,100,100,0.25
83,0.7666318020001199,827.1167868429195,8490.0,100,0.25,1000,0,1,10,1000,100,100,0.25
84,0.7758331589993759,827.1167868429195,8591.0,100,0.25,1000,0,1,10,1000,100,100,0.25
85,0.7859313449989713,827.1167868429195,8692.0,100,0.25,1000,0,1,10,1000,100,100,0.25
86,0.7954610179986048,827.1167868429195,8793.0,100,0.25,1000,0,1,10,1000,100,100,0.25
87,0.8046885259991541,827.1167868429195,8894.0,100,0.25,1000,0,1,10,1000,100,100,0.25
88,0.8137430269998731,827.1167868429195,8995.0,100,0.25,1000,0,1,10,1000,100,100,0.25
89,0.8227615499999956,827.1167868429195,9096.0,100,0.25,1000,0,1,10,1000,100,100,0.25
90,0.8323265109993372,827.1167868429195,9197.0,100,0.25,1000,0,1,10,1000,100,100,0.25
91,0.8415696889987885,827.1167868429195,9298.0,100,0.25,1000,0,1,10,1000,100,100,0.25
92,0.8505885609993129,827.1167868429195,9399.0,100,0.25,1000,0,1,10,1000,100,100,0.25
93,0.8595696709999174,827.1167868429195,9500.0,100,0.25,1000,0,1,10,1000,100,100,0.25
94,0.8684956229990348,827.1167868429195,9601.0,100,0.25,1000,0,1,10,1000,100,100,0.25
95,0.8775040860000445,827.1167868429195,9702.0,100,0.25,1000,0,1,10,1000,100,100,0.25
96,0.8863806119989022,827.1167868429195,9803.0,100,0.25,1000,0,1,10,1000,100,100,0.25
97,0.8953414629995677,827.1167868429195,9904.0,100,0.25,1000,0,1,10,1000,100,100,0.25
98,0.904278706999321,827.1167868429195,10005.0,100,0.25,1000,0,1,10,1000,100,100,0.25
99,0.9136138129997562,827.1167868429195,10106.0,100,0.25,1000,0,1,10,1000,100,100,0.25
100,0.923135059998458,827.1167868429195,10207.0,100,0.25,1000,0,1,10,1000,100,100,0.25
101,0.9328518459988118,827.1167868429195,10308.0,100,0.25,1000,0,1,10,1000,100,100,0.25
102,0.9427419579988054,827.1167868429195,10409.0,100,0.25,1000,0,1,10,1000,100,100,0.25
103,0.9523620469990419,827.1167868429195,10510.0,100,0.25,1000,0,1,10,1000,100,100,0.25
104,0.9618645979990106,827.1167868429195,10611.0,100,0.25,1000,0,1,10,1000,100,100,0.25
105,0.9711760379996122,827.1167868429195,10712.0,100,0.25,1000,0,1,10,1000,100,100,0.25
106,0.9802981609991548,827.1167868429195,10813.0,100,0.25,1000,0,1,10,1000,100,100,0.25
107,0.9893660079997062,827.1167868429195,10914.0,100,0.25,1000,0,1,10,1000,100,100,0.25
108,0.9983801620001032,827.1167868429195,11015.0,100,0.25,1000,0,1,10,1000,100,100,0.25
109,1.0074106869997195,827.1167868429195,11116.0,100,0.25,1000,0,1,10,1000,100,100,0.25
110,1.016357649999918,827.1167868429195,11217.0,100,0.25,1000,0,1,10,1000,100,100,0.25
111,1.025350942998557,827.1167868429195,11318.0,100,0.25,1000,0,1,10,1000,100,100,0.25
112,1.0342853219990502,827.1167868429195,11419.0,100,0.25,1000,0,1,10,1000,100,100,0.25
113,1.0434063029988465,827.1167868429195,11520.0,100,0.25,1000,0,1,10,1000,100,100,0.25
114,1.052489699999569,827.1167868429195,11621.0,100,0.25,1000,0,1,10,1000,100,100,0.25
115,1.0615404849995684,827.1167868429195,11722.0,100,0.25,1000,0,1,10,1000,100,100,0.25
116,1.0705888649990811,827.1167868429195,11823.0,100,0.25,1000,0,1,10,1000,100,100,0.25
117,1.079477624998617,827.1167868429195,11924.0,100,0.25,1000,0,1,10,1000,100,100,0.25
118,1.0896086939992529,827.1167868429195,12025.0,100,0.25,1000,0,1,10,1000,100,100,0.25
119,1.1001645779997489,827.1167868429195,12126.0,100,0.25,1000,0,1,10,1000,100,100,0.25
120,1.1100272679996124,827.1167868429195,12227.0,100,0.25,1000,0,1,10,1000,100,100,0.25
121,1.1199015789989062,827.1167868429195,12328.0,100,0.25,1000,0,1,10,1000,100,100,0.25
122,1.133090280000033,827.1167868429195,12429.0,100,0.25,1000,0,1,10,1000,100,100,0.25
123,1.1482611339997675,827.1167868429195,12530.0,100,0.25,1000,0,1,10,1000,100,100,0.25
124,1.1617347669998708,827.1167868429195,12631.0,100,0.25,1000,0,1,10,1000,100,100,0.25
125,1.1765571759988234,827.1167868429195,12732.0,100,0.25,1000,0,1,10,1000,100,100,0.25
126,1.188185839999278,827.1167868429195,12833.0,100,0.25,1000,0,1,10,1000,100,100,0.25
127,1.2019029759994737,827.1167868429195,12934.0,100,0.25,1000,0,1,10,1000,100,100,0.25
128,1.2142916649991093,827.1167868429195,13035.0,100,0.25,1000,0,1,10,1000,100,100,0.25
129,1.2244527919992834,827.1167868429195,13136.0,100,0.25,1000,0,1,10,1000,100,100,0.25
130,1.2346080190000066,827.1167868429195,13237.0,100,0.25,1000,0,1,10,1000,100,100,0.25
131,1.244427994999569,827.1167868429195,13338.0,100,0.25,1000,0,1,10,1000,100,100,0.25
132,1.2535931919992436,827.1167868429195,13439.0,100,0.25,1000,0,1,10,1000,100,100,0.25
133,1.2639129879989923,827.1167868429195,13540.0,100,0.25,1000,0,1,10,1000,100,100,0.25
134,1.2732747459995153,827.1167868429195,13641.0,100,0.25,1000,0,1,10,1000,100,100,0.25
135,1.283579782999368,827.1167868429195,13742.0,100,0.25,1000,0,1,10,1000,100,100,0.25
136,1.293574056999205,827.1167868429195,13843.0,100,0.25,1000,0,1,10,1000,100,100,0.25
137,1.303597517999151,827.1167868429195,13944.0,100,0.25,1000,0,1,10,1000,100,100,0.25
138,1.3135720539994509,827.1167868429195,14045.0,100,0.25,1000,0,1,10,1000,100,100,0.25
139,1.323651032998896,827.1167868429195,14146.0,100,0.25,1000,0,1,10,1000,100,100,0.25
140,1.333283144998859,827.1167868429195,14247.0,100,0.25,1000,0,1,10,1000,100,100,0.25
141,1.3432566089995817,827.1167868429195,14348.0,100,0.25,1000,0,1,10,1000,100,100,0.25
142,1.353140799999892,827.1167868429195,14449.0,100,0.25,1000,0,1,10,1000,100,100,0.25
143,1.3636196549996384,827.1167868429195,14550.0,100,0.25,1000,0,1,10,1000,100,100,0.25
144,1.3731339480000315,827.1167868429195,14651.0,100,0.25,1000,0,1,10,1000,100,100,0.25
145,1.3834484639992297,827.1167868429195,14752.0,100,0.25,1000,0,1,10,1000,100,100,0.25
146,1.3933861179993983,827.1167868429195,14853.0,100,0.25,1000,0,1,10,1000,100,100,0.25
147,1.4037432770001033,827.1167868429195,14954.0,100,0.25,1000,0,1,10,1000,100,100,0.25
148,1.4133539469985408,827.1167868429195,15055.0,100,0.25,1000,0,1,10,1000,100,100,0.25
149,1.424068868998802,827.1167868429195,15156.0,100,0.25,1000,0,1,10,1000,100,100,0.25
0,0.003631282999776886,1400.9252885718133,100.0,100,0.25,1000,0,2,10,1000,100,100,0.25
1,0.019388014001378906,919.6967335750667,202.0,100,0.25,1000,0,2,10,1000,100,100,0.25
2,0.02951525700154889,919.4480395091289,304.0,100,0.25,1000,0,2,10,1000,100,100,0.25
3,0.038999211001282674,919.4480395091289,405.0,100,0.25,1000,0,2,10,1000,100,100,0.25
4,0.04864271600126813,799.9418707927742,507.0,100,0.25,1000,0,2,10,1000,100,100,0.25
5,0.057957973000156926,799.9418707927742,608.0,100,0.25,1000,0,2,10,1000,100,100,0.25
6,0.06767866700101877,799.9418707927742,709.0,100,0.25,1000,0,2,10,1000,100,100,0.25
7,0.07688912100093148,799.9418707927742,810.0,100,0.25,1000,0,2,10,1000,100,100,0.25
