Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart,group_number,run_number,problem_size,max_iterations,max_attempts,max_restarts
1,0.061963916999999924,1026.0,62.0,50,1,46,2,7,1000,10,100,50
1,0.061963916999999924,1075.0,64.0,50,1,47,2,7,1000,10,100,50
1,0.061963916999999924,988.0,66.0,50,1,48,2,7,1000,10,100,50
1,0.061963916999999924,1031.0,67.0,50,1,49,2,7,1000,10,100,50
1,0.061963916999999924,1000.0,69.0,50,1,50,2,7,1000,10,100,50
0,0.03729354200000046,1057.0,0.0,50,1,0,2,8,1000,10,100,50
1,0.05764208400000115,1057.0,1.0,50,1,0,2,8,1000,10,100,50
1,0.05764208400000115,1018.0,3.0,50,1,1,2,8,1000,10,100,50
1,0.05764208400000115,1047.0,4.0,50,1,2,2,8,1000,10,100,50
1,0.05764208400000115,1042.0,5.0,50,1,3,2,8,1000,10,100,50
1,0.05764208400000115,1022.0,7.0,50,1,4,2,8,1000,10,100,50
1,0.05764208400000115,1034.0,8.0,50,1,5,2,8,1000,10,100,50
1,0.05764208400000115,1024.0,10.0,50,1,6,2,8,1000,10,100,50
1,0.05764208400000115,1041.0,11.0,50,1,7,2,8,1000,10,100,50
1,0.05764208400000115,1079.0,12.0,50,1,8,2,8,1000,10,100,50
1,0.05764208400000115,968.0,13.0,50,1,9,2,8,1000,10,100,50
1,0.05764208400000115,1034.0,15.0,50,1,10,2,8,1000,10,100,50
1,0.05764208400000115,1036.0,16.0,50,1,11,2,8,1000,10,100,50
1,0.05764208400000115,1075.0,17.0,50,1,12,2,8,1000,10,100,50
1,0.05764208400000115,998.0,18.0,50,1,13,2,8,1000,10,100,50
1,0.05764208400000115,1009.0,20.0,50,1,14,2,8,1000,10,100,50
1,0.05764208400000115,1020.0,21.0,50,1,15,2,8,1000,10,100,50
1,0.05764208400000115,1033.0,22.0,50,1,16,2,8,1000,10,100,50
1,0.05764208400000115,1041.0,24.0,50,1,17,2,8,1000,10,100,50
1,0.05764208400000115,1031.0,26.0,50,1,18,2,8,1000,10,100,50
1,0.05764208400000115,1078.0,27.0,50,1,19,2,8,1000,10,100,50
1,0.05764208400000115,1095.0,28.0,50,1,20,2,8,1000,10,100,50
1,0.05764208400000115,1064.0,29.0,50,1,21,2,8,1000,10,100,50
1,0.05764208400000115,1033.0,30.0,50,1,22,2,8,1000,10,100,50
1,0.05764208400000115,1008.0,31.0,50,1,23,2,8,1000,10,100,50
1,0.05764208400000115,1021.0,33.0,50,1,24,2,8,1000,10,100,50
1,0.05764208400000115,1058.0,34.0,50,1,25,2,8,1000,10,100,50
1,0.05764208400000115,1055.0,35.0,50,1,26,2,8,1000,10,100,50
1,0.05764208400000115,1052.0,37.0,50,1,27,2,8,1000,10,100,50
1,0.05764208400000115,952.0,39.0,50,1,28,2,8,1000,10,100,50
1,0.05764208400000115,1056.0,40.0,50,1,29,2,8,1000,10,100,50
1,0.05764208400000115,1046.0,41.0,50,1,30,2,8,1000,10,100,50
1,0.05764208400000115,1092.0,42.0,50,1,31,2,8,1000,10,100,50
1,0.05764208400000115,1072.0,44.0,50,1,32,2,8,1000,10,100,50
1,0.05764208400000115,1076.0,45.0,50,1,33,2,8,1000,10,100,50
1,0.05764208400000115,1035.0,46.0,50,1,34,2,8,1000,10,100,50
1,0.05764208400000115,1077.0,48.0,50,1,35,2,8,1000,10,100,50
1,0.05764208400000115,1007.0,49.0,50,1,36,2,8,1000,10,100,50
1,0.05764208400000115,1040.0,50.0,50,1,37,2,8,1000,10,100,50
1,0.05764208400000115,1064.0,51.0,50,1,38,2,8,1000,10,100,50
1,0.05764208400000115,1003.0,52.0,50,1,39,2,8,1000,10,100,50
1,0.05764208400000115,1028.0,53.0,50,1,40,2,8,1000,10,100,50
1,0.05764208400000115,1060.0,55.0,50,1,41,2,8,1000,10,100,50
1,0.05764208400000115,1016.0,57.0,50,1,42,2,8,1000,10,100,50
1,0.05764208400000115,1014.0,58.0,50,1,43,2,8,1000,10,100,50
1,0.05764208400000115,1026.0,60.0,50,1,44,2,8,1000,10,100,50
1,0.05764208400000115,1088.0,61.0,50,1,45,2,8,1000,10,100,50
1,0.05764208400000115,1026.0,62.0,50,1,46,2,8,1000,10,100,50
1,0.05764208400000115,1075.0,64.0,50,1,47,2,8,1000,10,100,50
1,0.05764208400000115,988.0,66.0,50,1,48,2,8,1000,10,100,50
1,0.05764208400000115,1031.0,67.0,50,1,49,2,8,1000,10,100,50
1,0.05764208400000115,1000.0,69.0,50,1,50,2,8,1000,10,100,50
0,0.03961024999999907,1057.0,0.0,75,1,0,3,9,1000,10,100,75
1,0.060321250000001214,1057.0,1.0,75,1,0,3,9,1000,10,100,75
1,0.060321250000001214,1018.0,3.0,75,1,1,3,9,1000,10,100,75
1,0.060321250000001214,1047.0,4.0,75,1,2,3,9,1000,10,100,75
1,0.060321250000001214,1042.0,5.0,75,1,3,3,9,1000,10,100,75
1,0.060321250000001214,1022.0,7.0,75,1,4,3,9,1000,10,100,75
1,0.060321250000001214,1034.0,8.0,75,1,5,3,9,1000,10,100,75
